original name,prefix,title,primary,secondary,suffix,number,fuller form,dates, ,source
"Ayres, Francis O.",,,Ayres,Francis O,,,,,http://id.loc.gov/authorities/names/no2010124335,lcnaf
"Babbitt, Rube S.",,,Babbitt,Rube S,,,,,,lcnaf
"Babicki, Andrew.",,,Babicki,Andrew,,,,,,lcnaf
"Bach, Barbara.",,,Bach,Barbara,,,,,,lcnaf
"Bach, Waldo.",,,Bach,Waldo,,,,,,lcnaf
"Bachner, Arnie.",,,Bachner,Arnie,,,,,,lcnaf
"Backus, C. K. (Charles K.)",,,Backus,C. K.,,,Charles K.,,http://id.loc.gov/authorities/names/n85809178,lcnaf
"Backus, Standish.",,,Backus,Standish,,,,,,lcnaf
"Bacon, Deborah.",,,Bacon,Deborah,,,,,,lcnaf
"Bacon, Elbridge F.",,,Bacon,Elbridge F,,,,,,lcnaf
"Bader, Arno Lehman.",,,Bader,Arno Lehman,,,,,,lcnaf
"Baer, Max A.",,,Baer,Max A,,,,,,lcnaf
"Bagwell, Paul D.",,,Bagwell,Paul D,,,,,,lcnaf
"Bailey, Bea.",,,Bailey,Bea,,,,,http://id.loc.gov/authorities/names/no2009070890,lcnaf
"Bailey, Richard W.",,,Bailey,Richard W,,,,,http://id.loc.gov/authorities/names/n80005182,lcnaf
"Bailey, Tom.",,,Bailey,Tom,,,,,,lcnaf
"Bain, Read.",,,Bain,Read,,,,,,lcnaf
"Baird, Andrew C.",,,Baird,Andrew C,,,,,,lcnaf
"Bakalis, Hrissi.",,,Bakalis,Hrissi,,,,,,lcnaf
"Bakalis, Pete.",,,Bakalis,Pete,,,,,,lcnaf
"Baker, Art.",,,Baker,Art,,,,,,lcnaf
"Baker, Deane.",,,Baker,Deane,,,,,,lcnaf
"Baker, George Sumner.",,,Baker,George Sumner,,,,,,lcnaf
"Baker, Howard Bigelow.",,,Baker,Howard Bigelow,,,,,,lcnaf
"Baker, Mary Ursula.",,,Baker,Mary Ursula,,,,,,lcnaf
"Baker, Orrin.",,,Baker,Orrin,,,,,,lcnaf
"Baker, Oscar W.",,,Baker,Oscar W,,,,,,lcnaf
"Baker, Wayne E.",,,Baker,Wayne E,,,,,http://id.loc.gov/authorities/names/n93043323,lcnaf
"Baker, William F.",,,Baker,William F,,,,,,lcnaf
"Baldwin, C. W.",,,Baldwin,C. W,,,,,,lcnaf
"Baldwin, Charles.",,,Baldwin,Charles,,,,,,lcnaf
"Baldwin, Frank Dwight.",,,Baldwin,Frank Dwight,,,,,,lcnaf
"Baldwin, R. W.",,,Baldwin,R. W,,,,,,lcnaf
"Baldwin, Richard L.",,,Baldwin,Richard L,,,,,http://id.loc.gov/authorities/names/n94056519,lcnaf
"Baldwin, Ruth Standish.",,,Baldwin,Ruth Standish,,,,,,lcnaf
"Balogh, Tivadar",,,Balogh,Tivadar,,,,,,lcnaf
"Balogh, Tivadar.",,,Balogh,Tivadar,,,,,,lcnaf
"Balzhiser, Richard E.",,,Balzhiser,Richard E,,,,,http://id.loc.gov/authorities/names/n99010449,lcnaf
"Bandemer, Paul A.",,,Bandemer,Paul A,,,,,,lcnaf
"Bank, Ted.",,,Bank,Ted,,,,,http://id.loc.gov/authorities/names/n87932009,lcnaf
"Banks, A. A. (Allan A.)",,,Banks,A. A.,,,Allan A.,,,lcnaf
"Bannon, Kenneth F.",,,Bannon,Kenneth F,,,,,,lcnaf
"Banér, Skulda V. (Skulda Vanadis)",,,Banér,Skulda V.,,,Skulda Vanadis,,,lcnaf
"Barbeau, Peter.",,,Barbeau,Peter,,,,,,lcnaf
"Barbour, Edwin Scott.",,,Barbour,Edwin Scott,,,,,,lcnaf
"Bardwell, Jex.",,,Bardwell,Jex,,,,,,lcnaf
"Bareng, T.",,,Bareng,T,,,,,,lcnaf
"Barnard, Ruth M.",,,Barnard,Ruth M,,,,,,lcnaf
"Barnes, Douglas.",,,Barnes,Douglas,,,,,,lcnaf
"Barnes, Joseph.",,,Barnes,Joseph,,,,,,lcnaf
"Barnes, M. H.",,,Barnes,M. H,,,,,http://id.loc.gov/authorities/names/n82208655,lcnaf
"Barnes, Russell.",,,Barnes,Russell,,,,,http://id.loc.gov/authorities/names/n98043169,lcnaf
"Barnet, Richard J.",,,Barnet,Richard J,,,,,http://id.loc.gov/authorities/names/n79145594,lcnaf
"Barnett, Douglas.",,,Barnett,Douglas,,,,,,lcnaf
"Barney, Jane Lockwood.",,,Barney,Jane Lockwood,,,,,,lcnaf
"Barney, Roger Warren.",,,Barney,Roger Warren,,,,,,lcnaf
"Barney, Roger.",,,Barney,Roger,,,,,,lcnaf
"Barnhizer, Daniel D.",,,Barnhizer,Daniel D,,,,,http://id.loc.gov/authorities/names/no2008009563,lcnaf
"Barr, Merle.",,,Barr,Merle,,,,,,lcnaf
"Barrabee, Peter",,,Barrabee,Peter,,,,,,lcnaf
"Barrett, Nell.",,,Barrett,Nell,,,,,,lcnaf
"Barritt, Loren S. and Marjorie Rabe Barritt.",,,Barritt,Loren S. and Marjorie Rabe Barritt,,,,,,lcnaf
"Barritt, Loren.",,,Barritt,Loren,,,,,http://id.loc.gov/authorities/names/n85136669,lcnaf
"Barron, Sarah.",,,Barron,Sarah,,,,,,lcnaf
"Barrows, Alice P.",,,Barrows,Alice P,,,,,,lcnaf
"Bartels, Levi.",,,Bartels,Levi,,,,,,lcnaf
"Bartels, R. C. F. (Robert Christian Frank)",,,Bartels,R. C. F.,,,Robert Christian Frank,,http://id.loc.gov/authorities/names/nr92019342,lcnaf
"Bartlett, Hamilton H.",,,Bartlett,Hamilton H,,,,,,lcnaf
"Bartlett, Ilo H.",,,Bartlett,Ilo H,,,,,,lcnaf
"Bartlett, Josephine K.",,,Bartlett,Josephine K,,,,,,lcnaf
"Bartlett, Robert H.",,,Bartlett,Robert H,,,,,,lcnaf
"Barton, Charles Morris.",,,Barton,Charles Morris,,,,,,lcnaf
"Barwin, Thomas W.",,,Barwin,Thomas W,,,,,http://id.loc.gov/authorities/names/n94048331,lcnaf
"Bashert, Beth.",,,Bashert,Beth,,,,,,lcnaf
"Bashert, Lisa Marshall.",,,Bashert,Lisa Marshall,,,,,,lcnaf
"Bass, Louis.",,,Bass,Louis,,,,,,lcnaf
"Bassett, Anita Denniston.",,,Bassett,Anita Denniston,,,,,http://id.loc.gov/authorities/names/n87152785,lcnaf
"Bates, Harriet.",,,Bates,Harriet,,,,,,lcnaf
"Bauer, Elizabeth W.",,,Bauer,Elizabeth W,,,,,,lcnaf
"Baur, George.",,,Baur,George,,,,,,lcnaf
"Bazmore, Grace.",,,Bazmore,Grace,,,,,,lcnaf
"Bazmore, Ray.",,,Bazmore,Ray,,,,,,lcnaf
"Beach, William Edward",,,Beach,William Edward,,,,,,lcnaf
"Beall, Hayes.",,,Beall,Hayes,,,,,,lcnaf
"Bear, Fred.",,,Bear,Fred,,,,,http://id.loc.gov/authorities/names/n79076721,lcnaf
"Beardsley, Richard K.",,,Beardsley,Richard K,,,,,,lcnaf
"Beasly, William Arthur.",,,Beasly,William Arthur,,,,,,lcnaf
"Beauvais, Francis N.",,,Beauvais,Francis N,,,,,,lcnaf
"Becker, Herman.",,,Becker,Herman,,,,,,lcnaf
"Beckley, Robert M.",,,Beckley,Robert M,,,,,http://id.loc.gov/authorities/names/n86858088,lcnaf
"Beckman, Charles K.",,,Beckman,Charles K,,,,,,lcnaf
"Beebe, Lorraine B. (Lorraine Boekeloo)",,,Beebe,Lorraine B.,,,Lorraine Boekeloo,,,lcnaf
"Beekman, Lynwood.",,,Beekman,Lynwood,,,,,,lcnaf
"Beekman, Marvin E.",,,Beekman,Marvin E,,,,,,lcnaf
"Beeson, Lewis.",,,Beeson,Lewis,,,,,,lcnaf
"Begg, Victor.",,,Begg,Victor,,,,,,lcnaf
"Behee, John Richard.",,,Behee,John Richard,,,,,,lcnaf
"Belding, Anson Wood.",,,Belding,Anson Wood,,,,,,lcnaf
"Bell, Leon.",,,Bell,Leon,,,,,,lcnaf
"Bell, Rob.",,,Bell,Rob,,,,,,lcnaf
"BenDor, Jan.",,,BenDor,Jan,,,,,,lcnaf
"Benford, Harry.",,,Benford,Harry,,,,,http://id.loc.gov/authorities/names/n85073654,lcnaf
"Beni, Jack A.",,,Beni,Jack A,,,,,,lcnaf
"Bennett, Flora.",,,Bennett,Flora,,,,,,lcnaf
"Benninghoff, W. S.",,,Benninghoff,W. S,,,,,http://id.loc.gov/authorities/names/n88627143,lcnaf
"Bennish, Gloria.",,,Bennish,Gloria,,,,,,lcnaf
"Benson, Ezra Taft.",,,Benson,Ezra Taft,,,,,http://id.loc.gov/authorities/names/n50008042,lcnaf
"Beozowski, John J.",,,Beozowski,John J,,,,,,lcnaf
"Berger, Carl F.",,,Berger,Carl F,,,,,http://id.loc.gov/authorities/names/n88618828,lcnaf
"Bergmann, Frithjof.",,,Bergmann,Frithjof,,,,,http://id.loc.gov/authorities/names/n90657442,lcnaf
"Berlin, Lawrence S.",,,Berlin,Lawrence S,,,,,,lcnaf
"Berndt, Raymond H.",,,Berndt,Raymond H,,,,,,lcnaf
"Bernstein, I. A.",,,Bernstein,I. A,,,,,http://id.loc.gov/authorities/names/n87807224,lcnaf
"Bernstein, Leonard.",,,Bernstein,Leonard,,,,,,lcnaf
"Berry, Nabih.",,,Berry,Nabih,,,,,,lcnaf
"Berthelot, Helen W.",,,Berthelot,Helen W,,,,,http://id.loc.gov/authorities/names/n90727790,lcnaf
"Bertolaet, Frederick W.",,,Bertolaet,Frederick W,,,,,,lcnaf
"Bethune, Norman.",,,Bethune,Norman,,,,,http://id.loc.gov/authorities/names/n78095629,lcnaf
"Betz, Esther.",,,Betz,Esther,,,,,,lcnaf
"Bevan, Elaine.",,,Bevan,Elaine,,,,,,lcnaf
"Bevier, Jonathan.",,,Bevier,Jonathan,,,,,,lcnaf
"Bezner, Frederick O.",,,Bezner,Frederick O,,,,,,lcnaf
"Bicknell, John W.",,,Bicknell,John W,,,,,,lcnaf
"Biddle, George.",,,Biddle,George,,,,,,lcnaf
"Biederman, Myrtle.",,,Biederman,Myrtle,,,,,,lcnaf
"Bielskus, Tony.",,,Bielskus,Tony,,,,,,lcnaf
"Bigby, Paul.",,,Bigby,Paul,,,,,,lcnaf
"Billetdeaux, Neal.",,,Billetdeaux,Neal,,,,,,lcnaf
"Billings, Alan G.",,,Billings,Alan G,,,,,,lcnaf
"Billings, Hiram K.",,,Billings,Hiram K,,,,,,lcnaf
"Billup, Edward Lee.",,,Billup,Edward Lee,,,,,,lcnaf
"Binder, Charles.",,,Binder,Charles,,,,,,lcnaf
"Bingham, Mary Warden.",,,Bingham,Mary Warden,,,,,,lcnaf
"Birch, Harriet A.",,,Birch,Harriet A,,,,,,lcnaf
"Bird, Chauncey.",,,Bird,Chauncey,,,,,,lcnaf
"Bird, James Pyper.",,,Bird,James Pyper,,,,,,lcnaf
"Birkerts, Gunnar.",,,Birkerts,Gunnar,,,,,,lcnaf
"Birney, Henry.",,,Birney,Henry,,,,,,lcnaf
"Bisbee, Leland S.",,,Bisbee,Leland S,,,,,,lcnaf
"Bishop, Ronald.",,,Bishop,Ronald,,,,,,lcnaf
"Black, Thomas E.",,,Black,Thomas E,,,,,,lcnaf
"Blackwelder, Justin.",,,Blackwelder,Justin,,,,,http://id.loc.gov/authorities/names/n92118419,lcnaf
"Blackwell, Walter.",,,Blackwell,Walter,,,,,,lcnaf
"Blair, Effie.",,,Blair,Effie,,,,,,lcnaf
"Blair, Geraldine.",,,Blair,Geraldine,,,,,,lcnaf
"Blair, Sarah Ford.",,,Blair,Sarah Ford,,,,,,lcnaf
"Blake, Aldrich.",,,Blake,Aldrich,,,,,,lcnaf
"Blanchard, Florence A.",,,Blanchard,Florence A,,,,,,lcnaf
"Blanchard, Frieda Cobb.",,,Blanchard,Frieda Cobb,,,,,,lcnaf
"Blanchard, Isaac G.",,,Blanchard,Isaac G,,,,,,lcnaf
"Blanchard, Janet.",,,Blanchard,Janet,,,,,,lcnaf
"Blanco, Victor Manuel.",,,Blanco,Victor Manuel,,,,,,lcnaf
"Blanton, Richard E.",,,Blanton,Richard E,,,,,http://id.loc.gov/authorities/names/n77005667,lcnaf
"Blazier, Craig.",,,Blazier,Craig,,,,,,lcnaf
"Bledsoe Ford, Deborah Geraldine.",,,Bledsoe Ford,Deborah Geraldine,,,,,,lcnaf
"Bledsoe, Geraldine Neale.",,,Bledsoe,Geraldine Neale,,,,,,lcnaf
"Bliss, William.",,,Bliss,William,,,,,,lcnaf
"Blois, John T.",,,Blois,John T,,,,,,lcnaf
"Blood, W. J.",,,Blood,W. J,,,,,,lcnaf
"Blouin, Francis X.",,,Blouin,Francis X,,,,,http://id.loc.gov/authorities/names/n79138823,lcnaf
"Bluestone, Barry.",,,Bluestone,Barry,,,,,http://id.loc.gov/authorities/names/n80060727,lcnaf
"Bluestone, Irving.",,,Bluestone,Irving,,,,,http://id.loc.gov/authorities/names/n83122080,lcnaf
"Bobbio, Joseph.",,,Bobbio,Joseph,,,,,,lcnaf
"Bodley, J. H.",,,Bodley,J. H,,,,,,lcnaf
"Boehm, Ernest R.",,,Boehm,Ernest R,,,,,,lcnaf
"Bohn, Theodore R.",,,Bohn,Theodore R,,,,,,lcnaf
"Bohr, David.",,,Bohr,David,,,,,,lcnaf
"Bolcom, William.",,,Bolcom,William,,,,,http://id.loc.gov/authorities/names/n81080002,lcnaf
"Boldyreff, W.",,,Boldyreff,W,,,,,,lcnaf
"Bole, Giles G.",,,Bole,Giles G,,,,,,lcnaf
"Bolger, Ray.",,,Bolger,Ray,,,,,http://id.loc.gov/authorities/names/n82036007,lcnaf
"Bolt, Jay A.",,,Bolt,Jay A,,,,,http://id.loc.gov/authorities/names/nr92023085,lcnaf
"Bond, Floyd Alden.",,,Bond,Floyd Alden,,,,,,lcnaf
"Bonnell, Jay H.",,,Bonnell,Jay H,,,,,,lcnaf
"Bonner, Ethel H.",,,Bonner,Ethel H,,,,,,lcnaf
