Name,LCNAF Heading,LC Record Link
"Astor, John Jacob, 1763-1848.","Astor, John Jacob, 1763-1848",http://id.loc.gov/authorities/names/n82027832
"Aswad, Barbara C.","Aswad, Barbara C.",http://id.loc.gov/authorities/names/nr95026222
"Aten, Murl K., 1901-","Aten, Murl K., 1901-1971",http://id.loc.gov/authorities/names/no2009000167
"Atkins, Daniel E. (Daniel Ewell)","Atkins, Daniel E. (Daniel Ewell)",http://id.loc.gov/authorities/names/nr92016868
"Attwood, Stephen S. (Stephen Stanley), 1897-1965.","Attwood, Stephen S. (Stephen Stanley), 1897-1965",http://id.loc.gov/authorities/names/n87117119
"Austin, Carolyn.","Eubank, Carolyn Austin, 1943-",http://id.loc.gov/authorities/names/n2006000187
"Avery, Sewell Lee, 1873-1960.","Avery, Sewell Lee, 1873-1960",http://id.loc.gov/authorities/names/no2008190070
"Axelrod, Solomon Jacob, 1912-","Axelrod, Solomon J. (Solomon Jacob), 1912-1987",http://id.loc.gov/authorities/names/n81150235
"Axtelle, George E. (George Edward), 1893-1974.","Axtelle, George E. (George Edward), 1893-1974",http://id.loc.gov/authorities/names/n91076207
"Ayers, John C. (John Carr), 1912-","Ayers, John C. (John Carr), 1912-",http://id.loc.gov/authorities/names/nr92018740
"Ayres, William H. (William Hanes), 1916-","Ayres, William H. (William Hanes), 1916-",http://id.loc.gov/authorities/names/n93027752
"Babson, Roger Ward, 1875-1967.","Babson, Roger Ward, 1875-1967",http://id.loc.gov/authorities/names/nr88000942
"Babst, Earl D., 1870-1967.","Babst, Earl D., 1870-1967",http://id.loc.gov/authorities/names/no98115213
"Bach, Barbara.","Bach, Johann Sebastian, 1685-1750",http://id.loc.gov/authorities/names/n79021425
"Backus, C. K. (Charles K.)","Backus, C. K. (Charles K.)",http://id.loc.gov/authorities/names/n85809178
"Backus, Standish.","Backus, Standish, 1910-1989",http://id.loc.gov/authorities/names/no2002013900
"Bagwell, Paul D.","Bagwell, Paul D. (Paul Douglas), 1913-1973",http://id.loc.gov/authorities/names/no2008190236
"Bagwell, Paul Douglas, 1913-1973.","Bagwell, Paul D. (Paul Douglas), 1913-1973",http://id.loc.gov/authorities/names/no2008190236
"Bailey, Bea.","Bailey, Bea",http://id.loc.gov/authorities/names/no2009070890
"Bailey, Richard W.","Bailey, Richard W.",http://id.loc.gov/authorities/names/n80005182
"Baits, Vera Burridge, 1892-1963.","Baits, Vera Burridge, 1892-1963",http://id.loc.gov/authorities/names/no2008190014
"Baker, Deane.","Baker, Deane-Peter",http://id.loc.gov/authorities/names/nb2003112494
"Baker, Henry B. (Henry Brooks), 1837-1920.","Baker, Henry B. (Henry Brooks), 1837-1920",http://id.loc.gov/authorities/names/no91001162
"Baker, Newton Diehl, 1871-1937.","Baker, Newton Diehl, 1871-1937",http://id.loc.gov/authorities/names/n86114582
"Baker, Purley Albert, 1858-1924.","Baker, Purley Albert, 1858-1924",http://id.loc.gov/authorities/names/no97016703
"Baker, Ray Stannard, 1870-1946.","Baker, Ray Stannard, 1870-1946",http://id.loc.gov/authorities/names/n84198048
"Balch, Emily Greene, 1867-1961.","Balch, Emily Greene, 1867-1961",http://id.loc.gov/authorities/names/n50017609
"Bald, F. Clever (Frederick Clever), 1897-1970.","Bald, F. Clever (Frederick Clever), 1897-1970",http://id.loc.gov/authorities/names/no97068662
"Baldwin, Henry P. (Henry Porter), 1814-1892.","Baldwin, Henry P. (Henry Porter), 1814-1892",http://id.loc.gov/authorities/names/no91021187
"Baldwin, Ralph Belknap, 1912-","Baldwin, Ralph Belknap, 1912-",http://id.loc.gov/authorities/names/n79081889
"Baldwin, Roger Nash, 1884-","Baldwin, Roger N. (Roger Nash), 1884-1981",http://id.loc.gov/authorities/names/n50017585
"Balfour, Arthur James, 1848-1930.","Balfour, Arthur James, 1848-1930",http://id.loc.gov/authorities/names/n50017666
"Ball, John, 1794-1884.","Ball, John, 1794-1884",http://id.loc.gov/authorities/names/n95035082
"Ballard, Florence, 1943-1976.","Ballard, Florence, 1943-1976",http://id.loc.gov/authorities/names/n2007055922
"Ballinger, Richard Achilles, 1858-1922.","Ballinger, Richard Achilles, 1858-1922",http://id.loc.gov/authorities/names/n81138776
"Balls, A. K. (Arnold Kent), 1891-1966.","Balls, A. K. (Arnold Kent), 1891-1966",http://id.loc.gov/authorities/names/no2011170114
"Balzhiser, Richard E.","Balzhiser, Richard E.",http://id.loc.gov/authorities/names/n99010449
"Bancroft, George, 1800-1891.","Bancroft, George, 1800-1891",http://id.loc.gov/authorities/names/n50036519
"Bandholtz, Harry Hill, 1864-1925.","Bandholtz, Harry Hill, 1864-1925",http://id.loc.gov/authorities/names/n2001023829
"Banfield, William C., 1961-","Banfield, William C., 1961-",http://id.loc.gov/authorities/names/no96003563
"Banning, Kendall, 1879-1944.","Banning, Kendall, 1879-1944",http://id.loc.gov/authorities/names/n87845228
"Bantock, Granville, Sir, 1868-1946.","Bantock, Granville, Sir, 1868-1946",http://id.loc.gov/authorities/names/n81140125
"Baraga, Frederic, 1797-1868.","Baraga, Frederic, 1797-1868",http://id.loc.gov/authorities/names/n82158356
"Barbour, Levi L. (Levi Lewis), 1840-1925.","Barbour, Levi L. (Levi Lewis), 1840-1925",http://id.loc.gov/authorities/names/n85809443
"Bardwell, Jex.","Bardwell, Jex, 1824-1902",http://id.loc.gov/authorities/names/no2009169092
"Barkley, Alben William, 1877-1956.","Barkley, Alben William, 1877-1956",http://id.loc.gov/authorities/names/n79056767
"Barnard, Christiaan, 1922-","Barnard, Christiaan, 1922-2001",http://id.loc.gov/authorities/names/n79090011
"Barnes, Douglas.","Barnes, Douglas R.",http://id.loc.gov/authorities/names/n50017454
"Barnes, Edward Larrabee, 1915-","Barnes, Edward Larrabee, 1915-2004",http://id.loc.gov/authorities/names/n82005408
"Barnes, Harry Elmer, 1889-1968.","Barnes, Harry Elmer, 1889-1968",http://id.loc.gov/authorities/names/n79100184
"Barnes, Joseph.","Case, John, -1600",http://id.loc.gov/authorities/names/n84092353
"Barnes, Walter, 1880-","Barnes, Walter, 1880-",http://id.loc.gov/authorities/names/n92098949
"Barnet, Richard J.","Barnet, Richard J.",http://id.loc.gov/authorities/names/n79145594
"Barnett, Douglas.","Barnett, Correlli",http://id.loc.gov/authorities/names/n50017467
"Barrett, Albert M. (Albert Moore), 1871-1936.","Barrett, Albert M. (Albert Moore), 1871-1936",http://id.loc.gov/authorities/names/no00081496
"Barrett, Albert Moore, 1871-1936.","Barrett, Albert M. (Albert Moore), 1871-1936",http://id.loc.gov/authorities/names/no00081496
"Barritt, Loren.","Barritt, Loren",http://id.loc.gov/authorities/names/n85136669
"Barrows, John Henry, 1847-1902.","Barrows, John Henry, 1847-1902",http://id.loc.gov/authorities/names/n86830749
"Bartels, R. C. F. (Robert Christian Frank)","Bartels, R. C. F. (Robert Christian Frank)",http://id.loc.gov/authorities/names/nr92019342
"Bartlett, Harley Harris, 1886-1960.","Bartlett, Harley Harris, 1886-1960",http://id.loc.gov/authorities/names/n85802228
"Bartlett, Lynn M. (Lynn Mahlon), 1904-1970.","Bartlett, Lynn M. (Lynn Mahlon), 1904-1970",http://id.loc.gov/authorities/names/no2008189085
"Bartlett, Robert H.","Cunningham, Allan, 1784-1842",http://id.loc.gov/authorities/names/n82208573
"Barton, Bruce, 1886-1967.","Barton, Bruce, 1886-1967",http://id.loc.gov/authorities/names/n86114512
"Baruch, Bernard M. (Bernard Mannes), 1870-1965.","Baruch, Bernard M. (Bernard Mannes), 1870-1965",http://id.loc.gov/authorities/names/n50023552
"Barwin, Thomas W.","Barwin, Thomas W.",http://id.loc.gov/authorities/names/n94048331
"Bashford, James Whitford, 1849-1919.","Bashford, J. W. (James Whitford), 1849-1919",http://id.loc.gov/authorities/names/nr2001011133
"Bassett, Anita Denniston.","Bassett, Anita Denniston",http://id.loc.gov/authorities/names/n87152785
"Bassett, David R., 1928-","Bassett, David R., 1928-",http://id.loc.gov/authorities/names/n86083718
"Bassett, Leslie, 1923-","Bassett, Leslie, 1923-",http://id.loc.gov/authorities/names/n81062079
"Bates, Harriet.","Putnam, Eleanor, 1856-1886",http://id.loc.gov/authorities/names/n88669175
"Bates, Henry Moore, 1869-1949.","Bates, Henry M. (Henry Moore), 1869-1949",http://id.loc.gov/authorities/names/no2001090656
"Bates, Marston, 1906-1974.","Bates, Marston, 1906-1974",http://id.loc.gov/authorities/names/n50006342
"Baxter, Percival Proctor, 1876-","Baxter, Percival Proctor, 1876-1969",http://id.loc.gov/authorities/names/n96060265
"Beakes, Samuel Willard, 1861-1927.","Beakes, Samuel W. (Samuel Willard), 1861-1927",http://id.loc.gov/authorities/names/no2008182928
"Beal, Junius E. (Junius Emery), 1860-1942.","Beal, Junius E. (Junius Emery), 1860-1942",http://id.loc.gov/authorities/names/no2008186663
"Beal, Junius Emery, 1860-1942.","Beal, Junius E. (Junius Emery), 1860-1942",http://id.loc.gov/authorities/names/no2008186663
"Beal, William James, 1833-1924.","Beal, W. J. (William James), 1833-1924",http://id.loc.gov/authorities/names/no2005089998
"Beard, Charles Austin, 1874-1948.","Beard, Charles A. (Charles Austin), 1874-1948",http://id.loc.gov/authorities/names/n80126170
"Beardsley, Richard K. (Richard King), 1918-","Beardsley, Richard K. (Richard King), 1918-1978",http://id.loc.gov/authorities/names/nr93016275
"Beauvoir, Simone de, 1908-1986.","Beauvoir, Simone de, 1908-1986",http://id.loc.gov/authorities/names/n80005123
"Beckley, Robert M.","Beckley, Robert M.",http://id.loc.gov/authorities/names/n86858088
"Beeton, Alfred Merle, 1927-","Beeton, Alfred Merle, 1927-",http://id.loc.gov/authorities/names/n80164331
"Begin, Menachem, 1913-","Begin, Menachem, 1913-1992",http://id.loc.gov/authorities/names/n79085130
"Begole, Josiah Williams, 1815-1896.","Begole, Josiah Williams, 1815-1896",http://id.loc.gov/authorities/names/no2008116613
"Belafonte, Harry, 1927-","Belafonte, Harry, 1927-",http://id.loc.gov/authorities/names/n84028909
"Belknap, Ralph Leroy, 1899-","Belknap, Ralph Leroy, 1899-1960",http://id.loc.gov/authorities/names/no2010128148
"Bell, James Franklin, 1856-1919.","Bell, James Franklin, 1856-1919",http://id.loc.gov/authorities/names/n98021891
"Bell, Leon.","Bell, L. N. (Leon Natanovich)",http://id.loc.gov/authorities/names/n81021291
"Beman, Wooster Woodruff, 1850-1922.","Beman, Wooster Woodruff, 1850-1922",http://id.loc.gov/authorities/names/n84805201
"Bemis, Edward Webster, 1860-1930.","Bemis, Edward Webster, 1860-1930",http://id.loc.gov/authorities/names/n50012168
"Benedict, Julius, Sir, 1804-1885.","Benedict, Julius, 1804-1885",http://id.loc.gov/authorities/names/n81055096
"Benedict, Ruth, 1887-1948.","Benedict, Ruth, 1887-1948",http://id.loc.gov/authorities/names/n50029994
"Benford, Harry.","Benford, Harry",http://id.loc.gov/authorities/names/n85073654
"Ben-Gurion, David, 1886-1973.","Ben-Gurion, David, 1886-1973",http://id.loc.gov/authorities/names/n50007677
"Benitez, Jaime, 1908-","Benítez, Jaime, 1908-2001",http://id.loc.gov/authorities/names/n88682582
"Bennett, James O'Donnell, 1870-1940.","Bennett, James O'Donnell, 1870-1940",http://id.loc.gov/authorities/names/n93017621
"Bennett, John B. (John Bonifas), 1905-1964.","Bennett, John B. (John Bonifas), 1905-1964",http://id.loc.gov/authorities/names/no2008183537
"Bennett, John Coleman, 1902-","Bennett, John C. (John Coleman), 1902-1995",http://id.loc.gov/authorities/names/n50008007
"Bennett, Wallace F. (Wallace Foster), 1898-","Bennett, Wallace F. (Wallace Foster), 1898-1993",http://id.loc.gov/authorities/names/n87870686
"Bennett, William Sterndale, Sir, 1816-1875.","Bennett, William Sterndale, 1816-1875",http://id.loc.gov/authorities/names/n79072702
"Benninghoff, W. S.","Benninghoff, W. S.",http://id.loc.gov/authorities/names/n88627143
"Benson, Ezra Taft.","Benson, Ezra Taft",http://id.loc.gov/authorities/names/n50008042
"Bentley, Alvin M. (Alvin Morell), 1918-1969.","Bentley, Alvin M. (Alvin Morell), 1918-1969",http://id.loc.gov/authorities/names/no2008189557
"Bergmann, Frithjof.","Bergmann, Frithjof",http://id.loc.gov/authorities/names/n90657442
"Berle, Adolf Augustus, 1895-1971.","Berle, Adolf A., Jr., 1895-1971",http://id.loc.gov/authorities/names/n50057238
"Bernard, L. L. (Luther Lee), 1881-1951.","Bernard, L. L. (Luther Lee), 1881-1951",http://id.loc.gov/authorities/names/n79091510
"Bernstein, I. A.","Bernstein, I. A.",http://id.loc.gov/authorities/names/n87807224
"Bernstein, Leonard, 1918-","Bernstein, Leonard, 1918-1990",http://id.loc.gov/authorities/names/n50007704
"Bernstein, Richard Barry, 1923-","Bernstein, Richard B. (Richard Barry), 1923-1990",http://id.loc.gov/authorities/names/n82019590
"Berthelot, Helen W.","Berthelot, Helen W.",http://id.loc.gov/authorities/names/n90727790
"Bethune, Mary McLeod, 1875-1955.","Bethune, Mary McLeod, 1875-1955",http://id.loc.gov/authorities/names/n85022961
"Beveridge, Albert Jeremiah, 1862-1927.","Beveridge, Albert J. (Albert Jeremiah), 1862-1927",http://id.loc.gov/authorities/names/n50009527
"Biddle, Francis, 1886-1968.","Biddle, Francis, 1886-1968",http://id.loc.gov/authorities/names/n79054161
"Bidlack, Russell E. (Russell Eugene), 1920-","Bidlack, Russell E. (Russell Eugene), 1920-",http://id.loc.gov/authorities/names/no91017295
"Bigelow, Martha Mitchell, 1921-","Bigelow, Martha Mitchell, 1921-",http://id.loc.gov/authorities/names/n91062733
"Bigelow, Poultney, b.1855.","Bigelow, Poultney, 1855-1954",http://id.loc.gov/authorities/names/n88609362
"Bigelow, Samuel Lawrence, 1870-1947.","Bigelow, S. Lawrence (Samuel Lawrence), 1870-1947",http://id.loc.gov/authorities/names/no2003111455
"Bigelow, William F. (William Frederick), 1879-1966.","Bigelow, William F. (William Frederick), 1879-1966",http://id.loc.gov/authorities/names/n90644718
"Bingham, Kinsley S. (Kinsley Scott), 1808-1861.","Bingham, Kinsley S. (Kinsley Scott), 1808-1861",http://id.loc.gov/authorities/names/no95055147
"Bining, Arthur Cecil, 1893-1957.","Bining, Arthur Cecil, 1893-1957",http://id.loc.gov/authorities/names/n50009377
"Binkowski, Don, 1929-","Binkowski, Don, 1929-",http://id.loc.gov/authorities/names/no95022095
"Bird, John E. (John Everett), 1862-1928.","Bird, John E. (John Everett), 1862-1928",http://id.loc.gov/authorities/names/no2009002467
"Birkerts, Gunnar.","Birkerts, Sven",http://id.loc.gov/authorities/names/n86115535
"Birkhead, Leon Milton, 1885-1954.","Birkhead, L. M. (Leon Milton), 1885-1954",http://id.loc.gov/authorities/names/no2002010900
"Bishop, Levi, 1815-1881.","Bishop, Levi, 1815-1881",http://id.loc.gov/authorities/names/nr00009018
"Bishop, Merlin D., 1907-","Bishop, Merlin D., 1907-",http://id.loc.gov/authorities/names/n92061964
"Bishop, Ronald.","Smith, Ronald Bishop",http://id.loc.gov/authorities/names/n50013207
"Bishop, William W. (William Warner), 1906-","Bishop, William W. (William Warner), 1906-1987",http://id.loc.gov/authorities/names/n88622566
"Bishop, William Warner, 1871-1955.","Bishop, William Warner, 1871-1955",http://id.loc.gov/authorities/names/n93084315
"Black, Eugene F., 1903-","Black, Eugene F., 1903-1990",http://id.loc.gov/authorities/names/no2009006457
"Black, Glenn A. (Glenn Albert), 1900-1964.","Black, Glenn A. (Glenn Albert), 1900-1964",http://id.loc.gov/authorities/names/n87884290
"Black, Hugo LaFayette, 1886-1971.","Black, Hugo LaFayette, 1886-1971",http://id.loc.gov/authorities/names/n79056509
"Blackmur, R.P. (Richard P.), 1904-1965.","Blackmur, R. P. (Richard P.), 1904-1965",http://id.loc.gov/authorities/names/n80013420
"Blackney, William Wallace, 1876-1963.","Blackney, William W. (William Wallace), 1876-1963",http://id.loc.gov/authorities/names/no2008190180
"Blackwell, Walter.","Blackwell, Walter Rollston Lightbourne, 1890-1957",http://id.loc.gov/authorities/names/nr94006665
"Blaine, James Gillespie, 1830-1893.","Blaine, James Gillespie, 1830-1893",http://id.loc.gov/authorities/names/n82011612
"Blair, Austin, 1818-1894.","Blair, Austin, 1818-1894",http://id.loc.gov/authorities/names/no97005930
"Blair, Charles A. (Charles Austin), 1854-1912.","Blair, Charles A. (Charles Austin), 1854-1912",http://id.loc.gov/authorities/names/n90620372
"Blakeman, Edward W. (Edward William), 1880-1963.","Blakeman, Edward W. (Edward William), 1880-1963",http://id.loc.gov/authorities/names/no97053258
"Blanchard, Frank Nelson, 1888-1937.","Blanchard, Frank N. (Frank Nelson), 1888-1937",http://id.loc.gov/authorities/names/no2011037180
"Blanchard, James J., 1942-","Blanchard, James J., 1942-",http://id.loc.gov/authorities/names/n85203480
"Blanco, Victor Manuel.","Blanco, V. M.",http://id.loc.gov/authorities/names/n88230281
"Blanshard, Brand, 1892-1987.","Blanshard, Brand, 1892-1987",http://id.loc.gov/authorities/names/n79099022
"Blanshard, Paul, 1892-","Blanshard, Paul, 1892-1980",http://id.loc.gov/authorities/names/n50082557
