Name,LCNAF Heading,LC Record Link
Nichols   Shepard Company.,,
"Nims House (Monroe, Mich.)",,
niversity of Michigan. Office of New Student Programs.,,
niversity of Michigan. Radiation Policy Committee.,,
Nomads Inc.,,
Non-Partisan Association for the League of Nations.,,
Non-Partisan Committee for Harry W. Laidler for City Council.,,
NOOMA Spiritual Films.,,
Nordamerikanische Wochen-Post.,,
Norfolk and Western Railway Company.,Norfolk and Western Railway Company,http://id.loc.gov/authorities/names/n83042258
Norse Civic Association.,,
North American Committee for Humanism.,North American Committee for Humanism,http://id.loc.gov/authorities/names/n87887675
North American Council on Adoptable Children.,North American Council on Adoptable Children,http://id.loc.gov/authorities/names/n84026219
North American Student Cooperative League.,,
North American Student Cooperative Organization.,North American Students of Cooperation,http://id.loc.gov/authorities/names/n79131142
North Central Association of Colleges and Schools. Michigan State Office.,,
North Central Association of Colleges and Schools (U.S.),North Central Association of Colleges and Schools (U.S.),http://id.loc.gov/authorities/names/n83008247
North Central Property Owners Association.,,
Northeast Michigan Community Partnership for Prevention.,,
"Northeast Mothers Alert (Detroit, Mich.)",,
"Northern Express Company (St. Paul, Minn.)",,
"Northern Indiana Normal School and Business Institute (Valparaiso, Ind.)",,
Northern Michigan College of Education.,Northern Michigan College,http://id.loc.gov/authorities/names/n81093636
Northern Michigan Environmental Action Council.,,
Northern Michigan Planned Parenthood.,,
Northern Michigan Regional Militia.,,
Northern Michigan Traction Company.,,
North Park Railway Company.,,
"North Rome Grange, No. 735 (Lenawee County, Mich.)",,
North Russia Expeditionary Force. Mapping Section.,,
"North Sharon Methodist Episcopal Church (Sharon, Washtenaw County, Mich.)",,
"Northside Presbyterian Church (Ann Arbor, Mich.)",,
"North Sylvan Grange, No. 1460 (Washtenaw County, Mich.)",,
"Northwest Emmanuel Evangelical Lutheran Church (Southfield, Mich.)",,
Northwestern Child Guidance Clinic.,,
"Northwestern Sanitary Fair (1863 : Chicago, Ill.)",,
"Northwestern University (Evanston, Ill.)","Northwestern University (Evanston, Ill.)",http://id.loc.gov/authorities/names/n79056815
"Northwest School (Ann Arbor, Mich.)",,
"Northwood Hotel (Cadillac, Mich.)",,
"Norwegian Evangelical Lutheran Church (Northport, Mich.)",,
NOW Legal Defense   Education Fund.,Project on Equal Education Rights,http://id.loc.gov/authorities/names/n88125977
NSFNET (Computer Network),,
NTL Institute for Applied Behavior Science.,,
"Nuremberg Medical Trial, Nuremberg, Germany, 1946-1947.",,
Oakland County (Mich.). Executive.,,
Oakland County Business Roundtable.,,
Oakland County Community Mental Health Services Board.,,
Oakland Land Conservancy (Mich.),Oakland Land Conservancy (Mich.),http://id.loc.gov/authorities/names/no2007152639
Oakland University.,University of California (System),http://id.loc.gov/authorities/names/n82001879
Oakland University (Mich.),Meadow Brook Art Gallery,http://id.loc.gov/authorities/names/n79145696
"Oakwood Cemetery (Saline, Mich.)",,
"Oakwood Hospital (Dearborn, Mich.)",,
Oasis Fellowship.,,
Oberlin College.,Allen Memorial Art Museum,http://id.loc.gov/authorities/names/n79092629
Ohio (Ship),Ohio (Ship),http://id.loc.gov/authorities/names/n91042442
Ohio and Michigan Sand and Gravel Company.,,
Ohio Citizens Trust Company.,,
Ohio Council on Alcohol Problems.,,
Ohio Dry Federation.,Ohio Dry Federation,http://id.loc.gov/authorities/names/no2004113901
Ohio State University.,Ohio State University,http://id.loc.gov/authorities/names/n79046205
Older Women's League (U.S.). Michigan Chapter.,,
Older Women's League (U.S.). Royal Oak Chapter (Mich.),,
"Old Fourth Ward Association (Ann Arbor, Mich.)",,
"Old Newsboys' Goodfellow Fund (Detroit, Mich.)",,
Olds Motor Works.,,
"Old West Side Association, inc.",,
Oliver Corporation.,Oliver Farm Equipment Company,http://id.loc.gov/authorities/names/n94095753
Olivet Association of Congregational Churches and Ministers (Mich.),,
Olivet College.,Olivet College,http://id.loc.gov/authorities/names/n82097696
"Olivet Lutheran Church (Detroit, Mich.)",,
"Omega Psi Phi Fraternity. Sigma Rho Chapter (Ann Arbor- Ypsilanti, Mich.)",,
ONCE Festival.,"<?xml version=""1.0"" encoding=""UTF-8""?> <mx:record xmlns=""http://www.w3.org/TR/xhtml1/strict"" xmlns:mx=""http://www.loc.gov/MARC21/slim""> <mx:leader>00000cz a2200037n 45 0</mx:leader> <mx:controlfield tag=""001"">LC|no2002048810</mx:controlfield> <mx:controlfield tag=""005"">20120815081700.0</mx:controlfield> <mx:controlfield tag=""008"">020605n| acannaabn |a ana c</mx:controlfield> <mx:controlfield tag=""003"">LC</mx:controlfield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(LC)5419057</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""010""> <mx:subfield code=""a"">no2002048810</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(OCoLC)oca05779120</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(DLC)5670227</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(DLC)no2002048810</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""040""> <mx:subfield code=""a"">MWalB-CA</mx:subfield> <mx:subfield code=""b"">eng</mx:subfield> <mx:subfield code=""c"">MWalB-CA</mx:subfield> <mx:subfield code=""d"">DLC</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""111""> <mx:subfield code=""a"">ONCE Festival.</mx:subfield> <mx:subfield code=""e"">Chamber Ensemble</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""410""> <mx:subfield code=""a"">ONCE Chamber Orchestra</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""410""> <mx:subfield code=""a"">ONCE Festival Chamber Ensemble</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""410""> <mx:subfield code=""a"">ONCE Group (Musical group)</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""410""> <mx:subfield code=""a"">ONCE Orchestra</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""667""> <mx:subfield code=""a"">THIS 1XX FIELD CANNOT BE USED UNDER RDA UNTIL THIS RECORD HAS BEEN REVIEWED AND/OR UPDATED</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""670""> <mx:subfield code=""a"">Music of Gordon Mumma [SR] 2001:</mx:subfield> <mx:subfield code=""b"">insert (ONCE Festival Chamber Ensemble)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""670""> <mx:subfield code=""a"">Music of Robert Ashley and Earl Brown [SR] 2001:</mx:subfield> <mx:subfield code=""b"">insert (ONCE Orchestra)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""670""> <mx:subfield code=""a"">Zentrum fu&#x308;r Kunst- und Medientechnologie Karlsruhe. IDEAMA target collection. CD 072 [SR] 1996:</mx:subfield> <mx:subfield code=""b"">insert (ONCE Chamber Orchestra)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""670""> <mx:subfield code=""a"">Amerigrove</mx:subfield> <mx:subfield code=""b"">(ONCE: the ONCE Group, a smaller performace art ensemble, performed, recorded and made tours from 1965 to 1969)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""903""> <mx:subfield code=""a"">2006582979</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""910""> <mx:subfield code=""a"">electronicmusicoftheatreandpublicactivity</mx:subfield> <mx:subfield code=""A"">Electronic music of theatre and public activity</mx:subfield> <mx:subfield code=""l"">zxx</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""912""> <mx:subfield code=""a"">works</mx:subfield> <mx:subfield code=""A"">Works.</mx:subfield> <mx:subfield code=""l"">zxx</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""919""> <mx:subfield code=""a"">zentrumfurkunstundmedientechnologiekarlsruheideamatargetcollectioncd072sr</mx:subfield> <mx:subfield code=""A"">Zentrum fu&#x308;r Kunst- und Medientechnologie Karlsruhe. IDEAMA target collection. CD 072 [SR] 1996:</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""919""> <mx:subfield code=""a"">musicofrobertashleyandearlbrownsr</mx:subfield> <mx:subfield code=""A"">Music of Robert Ashley and Earl Brown [SR] 2001:</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""919""> <mx:subfield code=""a"">musicofgordonmummasr</mx:subfield> <mx:subfield code=""A"">Music of Gordon Mumma [SR] 2001:</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""921""> <mx:subfield code=""a"">new world records</mx:subfield> <mx:subfield code=""b"">New World Records,</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""922""> <mx:subfield code=""a"">nyu</mx:subfield> <mx:subfield code=""b"">us</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""940""> <mx:subfield code=""a"">zxx</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""941""> <mx:subfield code=""a"">prf</mx:subfield> <mx:subfield code=""4"">prf</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""942""> <mx:subfield code=""a"">SDB 44051</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""943""> <mx:subfield code=""a"">200x</mx:subfield> <mx:subfield code=""A"">2001</mx:subfield> <mx:subfield code=""9"">3</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""943""> <mx:subfield code=""a"">199x</mx:subfield> <mx:subfield code=""A"">1996</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""944""> <mx:subfield code=""a"">jm</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""950""> <mx:subfield code=""a"">wehrer joseph j</mx:subfield> <mx:subfield code=""A"">Wehrer, Joseph J.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""950""> <mx:subfield code=""a"">borkin harold</mx:subfield> <mx:subfield code=""A"">Borkin, Harold.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""950""> <mx:subfield code=""a"">manupelli george</mx:subfield> <mx:subfield code=""A"">Manupelli, George.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""950""> <mx:subfield code=""a"">smoliar stephen w</mx:subfield> <mx:subfield code=""A"">Smoliar, Stephen W.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""950""> <mx:subfield code=""a"">cohen milton a</mx:subfield> <mx:subfield code=""A"">Cohen, Milton A.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""950""> <mx:subfield code=""a"">mumma gordon</mx:subfield> <mx:subfield code=""A"">Mumma, Gordon,</mx:subfield> <mx:subfield code=""d"">1935-</mx:subfield> <mx:subfield code=""9"">2</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""950""> <mx:subfield code=""a"">ashley robert</mx:subfield> <mx:subfield code=""A"">Ashley, Robert,</mx:subfield> <mx:subfield code=""d"">1930-2014.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""951""> <mx:subfield code=""a"">recorded anthology of american music inc</mx:subfield> <mx:subfield code=""A"">Recorded Anthology of American Music, Inc.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2006582979</mx:subfield> </mx:datafield> </mx:record>",http://id.loc.gov/authorities/names/no2002048810
"ONCE Festival (Ann Arbor, Mich.)",,
Oncology Nursing Society. Ann Arbor Chapter.,,
One United Michigan (Organization),,
"Onsted Grange, No. 279 (Lenawee County, Mich.)",,
Optical Society of America.,Optical Society of America,http://id.loc.gov/authorities/names/n82091895
Orchard Lake Country Club.,,
"Orchestra Hall (Detroit, Mich.)","Friends for Orchestra Hall (Detroit, Mich.)",http://id.loc.gov/authorities/names/n91010165
Order of Patrick Henry.,,
"Order of Pythian Sisters. Arbor Temple no. 80 (Ann Arbor, Mich.)",,
"Order of Pythian Sisters. Huron-Arbor Temple no. 66 (Ypsilanti, Mich.)",,
"Order of Pythian Sisters. Huron Temple no. 66 (Ypsilanti, Mich.)",,
Order of the Eastern Star.,Order of the Eastern Star,http://id.loc.gov/authorities/names/n50069908
Oregon Railway and Navigation Company.,Union Pacific Railroad Company,http://id.loc.gov/authorities/names/n81029000
Organization for Tropical Studies.,Organization for Tropical Studies,http://id.loc.gov/authorities/names/n84131809
"Organization Renewal, Inc.",,
Original Dulcimer Players Club.,,
Orthodox Church in America. Bulgarian Diocese in U.S.A.   Canada.,,
"Otis and Clark (Chicago, Ill.)",,
"Our Lady of Lake Huron Church (Harbor Beach, Mich.)",,
"Our Redeemer Lutheran Church (Kalamazoo, Mich.)",,
"Our Saviour Evangelical Lutheran Church (Manistee, Mich.)",,
"Our Saviour Lutheran Church (Saginaw, Mich.)",,
"Overseas Advisory Associates, Inc.","Overseas Advisory Associates, Inc.",http://id.loc.gov/authorities/names/no94022314
O-Wash-ta-Nong Boat Club.,,
Oxford Housing (University of Michigan),,
Ozone House.,,
Pacific Islands (Trust Territory). Dept. of Education.,,
Packard Motor Car Company.,Packard Motor Car Company,http://id.loc.gov/authorities/names/n84123756
"Palmer's Drugstore (Ann Arbor, Mich.)",,
"Palmer-Ryan House (Ann Arbor, Mich.)",,
Palms Realty Company.,,
Pan African Orthodox Christian Church.,Pan African Orthodox Christian Church,http://id.loc.gov/authorities/names/n00088148
Panama Canal (Panama),Panama Canal Company,http://id.loc.gov/authorities/names/n82004295
Pan American Health Organization.,Pan American Health Organization,http://id.loc.gov/authorities/names/n80113674
Paralyzed Veterans of America. Michigan Chapter.,,
"Paramount Theatre (Ashland, Ky.)",,
"Parents, Families and Friends of Lesbians and Gays.","Parents, Families, and Friends of Lesbians and Gays",http://id.loc.gov/authorities/names/no2002083927
"Parents, Families and Friends of Lesbians and Gays. Lansing Area chapter.",,
"Parents, Families and Friends of Lesbians and Gays (Ann Arbor, Mich.)",,
"Parents, Families and Friends of Lesbians and Gays (Detroit, Mich.)",,
"Parents, Families and Friends of Lesbians and Gays Downriver, Mich.",,
Parents and Teachers Association. Kalamazoo County Council (Mich.),,
Paris   Pere Marquette River Railroad Company.,,
"Paris Grange, No. 19 (Kent County, Mich.)",,
Parishfield.,,
Parish Partnerships of Washtenaw County.,,
